Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_fixed_block_targets_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_fixed_block_targets_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_fixed_block_targets_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=1/100 | objective=-11.945566 | rate=12.007762 | r_p=0.621957 | r_c=0.066064 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=2/100 | objective=-14.350386 | rate=14.428729 | r_p=0.737552 | r_c=0.083782 | r_s=0.014251 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=3/100 | objective=-15.384237 | rate=15.473770 | r_p=0.788171 | r_c=0.095744 | r_s=0.012678 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=4/100 | objective=-15.771874 | rate=15.869642 | r_p=0.804831 | r_c=0.104246 | r_s=0.011149 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=5/100 | objective=-15.906988 | rate=16.011891 | r_p=0.809907 | r_c=0.111463 | r_s=0.009509 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=6/100 | objective=-15.962063 | rate=16.074337 | r_p=0.815803 | r_c=0.118930 | r_s=0.008157 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=7/100 | objective=-16.024056 | rate=16.142663 | r_p=0.813593 | r_c=0.125227 | r_s=0.007653 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=8/100 | objective=-16.088154 | rate=16.214110 | r_p=0.818332 | r_c=0.132653 | r_s=0.007269 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=9/100 | objective=-16.103455 | rate=16.237388 | r_p=0.826231 | r_c=0.140760 | r_s=0.006418 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=10/100 | objective=-16.089879 | rate=16.229912 | r_p=0.821960 | r_c=0.146788 | r_s=0.005603 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=11/100 | objective=-16.082355 | rate=16.229220 | r_p=0.822385 | r_c=0.153627 | r_s=0.005160 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=12/100 | objective=-16.087672 | rate=16.241532 | r_p=0.823632 | r_c=0.160644 | r_s=0.004885 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=13/100 | objective=-16.093635 | rate=16.254451 | r_p=0.824513 | r_c=0.167614 | r_s=0.004578 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=14/100 | objective=-16.096828 | rate=16.263319 | r_p=0.818990 | r_c=0.173199 | r_s=0.004270 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=15/100 | objective=-16.093396 | rate=16.267883 | r_p=0.825080 | r_c=0.181294 | r_s=0.003934 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=16/100 | objective=-16.087242 | rate=16.268456 | r_p=0.824714 | r_c=0.188015 | r_s=0.003574 | status=running
